track_fid,track_se_1,ele,time,latitude,longitude
"0","132",5.400000095367432,2020/05/28 20:16:43.000,25.775599,-80.352058
"0","133",5.000000000000000,2020/05/28 20:16:50.000,25.775644,-80.352268
"0","134",5.000000000000000,2020/05/28 20:16:51.000,25.775649,-80.352297
"0","135",4.400000095367432,2020/05/28 20:16:57.000,25.775691,-80.352459
"0","136",4.400000095367432,2020/05/28 20:16:58.000,25.775694,-80.352482
"0","137",4.199999809265137,2020/05/28 20:17:05.000,25.775682,-80.352647
"0","138",4.000000000000000,2020/05/28 20:17:14.000,25.775656,-80.352864
"0","139",4.000000000000000,2020/05/28 20:17:16.000,25.775648,-80.352910
"0","140",4.000000000000000,2020/05/28 20:17:22.000,25.775626,-80.353088
"0","141",4.000000000000000,2020/05/28 20:17:24.000,25.775630,-80.353149
"0","142",4.000000000000000,2020/05/28 20:17:29.000,25.775648,-80.353305
"0","143",3.799999952316284,2020/05/28 20:17:33.000,25.775623,-80.353428
"0","144",3.799999952316284,2020/05/28 20:17:34.000,25.775603,-80.353445
"0","145",3.799999952316284,2020/05/28 20:17:39.000,25.775484,-80.353455
"0","146",4.000000000000000,2020/05/28 20:17:46.000,25.775317,-80.353445
"0","147",4.199999809265137,2020/05/28 20:17:53.000,25.775159,-80.353428
"0","148",4.199999809265137,2020/05/28 20:18:01.000,25.774954,-80.353411
"0","149",4.000000000000000,2020/05/28 20:18:09.000,25.774775,-80.353399
"0","150",4.400000095367432,2020/05/28 20:18:16.000,25.774592,-80.353403
"0","151",4.599999904632568,2020/05/28 20:18:23.000,25.774411,-80.353391
"0","152",4.599999904632568,2020/05/28 20:18:30.000,25.774246,-80.353382
"0","153",4.599999904632568,2020/05/28 20:18:38.000,25.774056,-80.353366
"0","154",4.599999904632568,2020/05/28 20:18:46.000,25.773862,-80.353348
"0","155",4.599999904632568,2020/05/28 20:18:48.000,25.773811,-80.353346
"0","156",4.400000095367432,2020/05/28 20:18:54.000,25.773656,-80.353400
"0","157",4.800000190734863,2020/05/28 20:19:01.000,25.773496,-80.353453
"0","158",5.000000000000000,2020/05/28 20:19:06.000,25.773400,-80.353527
"0","159",5.199999809265137,2020/05/28 20:19:12.000,25.773254,-80.353587
"0","160",5.000000000000000,2020/05/28 20:19:20.000,25.773097,-80.353570
"0","161",4.599999904632568,2020/05/28 20:19:28.000,25.772903,-80.353552
"0","162",4.599999904632568,2020/05/28 20:19:35.000,25.772727,-80.353565
"0","163",4.800000190734863,2020/05/28 20:19:42.000,25.772525,-80.353630
"0","164",4.800000190734863,2020/05/28 20:19:49.000,25.772335,-80.353654
"0","165",4.800000190734863,2020/05/28 20:19:50.000,25.772308,-80.353657
"0","166",5.000000000000000,2020/05/28 20:19:57.000,25.772132,-80.353650
"0","167",5.000000000000000,2020/05/28 20:20:04.000,25.771944,-80.353643
"0","168",5.000000000000000,2020/05/28 20:20:12.000,25.771749,-80.353627
"0","169",5.000000000000000,2020/05/28 20:20:20.000,25.771550,-80.353620
"0","170",5.000000000000000,2020/05/28 20:20:27.000,25.771384,-80.353599
"0","171",5.199999809265137,2020/05/28 20:20:34.000,25.771202,-80.353584
"0","172",5.199999809265137,2020/05/28 20:20:35.000,25.771177,-80.353576
